360.161	7.6
360.333	7.5
360.504	7.4
360.676	7.4
360.847	7.4
361.019	7.4
361.19	7.3
361.361	7.3
361.533	7.4
361.704	7.3
361.876	7.2
362.047	7.2
362.219	7.1
362.391	7
362.562	7
362.734	7
362.905	6.9
363.077	6.9
363.248	6.9
363.42	6.9
363.592	6.8
363.763	6.8
363.935	6.8
364.106	6.8
364.278	6.8
364.45	6.8
364.621	6.7
364.793	6.7
364.965	6.7
365.137	6.6
365.308	6.5
365.48	6.5
365.652	6.5
365.824	6.5
365.995	6.4
366.167	6.4
366.339	6.4
366.511	6.3
366.683	6.3
366.854	6.2
367.026	6.1
367.198	6
367.37	5.9
367.542	5.9
367.714	5.8
367.886	5.8
368.058	5.7
368.23	5.7
368.402	5.7
368.574	5.6
368.746	5.5
368.918	5.5
369.09	5.5
369.262	5.4
369.434	5.4
369.606	5.3
369.778	5.3
369.95	5.3
370.122	5.2
370.294	5.2
370.467	5.2
370.639	5.1
370.811	5.1
370.983	5.1
371.155	5
371.328	5
371.5	5
371.672	5
371.844	5
372.017	5
372.189	5
372.361	5
372.534	4.9
372.706	4.9
372.878	4.9
373.051	4.8
373.223	4.7
373.396	4.7
373.568	4.6
373.741	4.6
373.913	4.6
374.086	4.6
374.258	4.6
374.431	4.6
374.603	4.6
374.776	4.6
374.949	4.6
375.121	4.6
375.294	4.6
375.467	4.5
375.639	4.4
375.812	4.4
375.985	4.4
376.157	4.4
376.33	4.4
376.503	4.3
376.676	4.3
376.849	4.3
377.021	4.2
377.194	4.2
377.367	4.2
377.54	4.2
377.713	4.1
377.886	4.1
378.059	4
378.232	4
378.405	4
378.578	4
378.751	4
378.924	3.9
379.097	3.9
379.27	3.8
379.444	3.8
379.617	3.8
379.79	3.7
379.963	3.7
380.136	3.7
380.31	3.7
380.483	3.6
380.656	3.7
380.829	3.7
381.003	3.6
381.176	3.6
381.35	3.5
381.523	3.5
381.696	3.4
381.87	3.4
382.043	3.4
382.217	3.4
382.39	3.3
382.564	3.3
382.738	3.3
382.911	3.3
383.085	3.3
383.258	3.2
